date,close
06/05/2021,54.00
08/02/2021,46.40
06/11/2020,40.95
06/08/2020,36.70
06/05/2020,38.95
06/02/2020,38.30
06/11/2019,38.25
06/08/2019,34.90
06/05/2019,37.30
11/02/2019,33.00
06/11/2018,30.00
06/08/2018,25.10
07/05/2018,29.00
06/02/2018,31.80
06/11/2017,35.70
07/08/2017,34.20
08/05/2017,34.75
06/02/2017,30.00
07/11/2016,28.00
08/08/2016,24.90
06/05/2016,23.00
15/02/2016,19.70
06/11/2015,20.60
06/08/2015,18.50
06/05/2015,19.70
06/02/2015,17.80
06/11/2014,17.50
06/08/2014,14.90
06/05/2014,14.70
06/02/2014,15.60
06/11/2013,11.50
06/08/2013,10.50
06/05/2013,12.70
06/02/2013,10.50
06/11/2012,8.80
06/08/2012,10.30
07/05/2012,14.20
06/02/2012,8.70
07/11/2011,8.60
08/08/2011,8.10
06/05/2011,11.10
08/02/2011,17.60
08/11/2010,18.30
06/08/2010,28.50
06/05/2010,29.80
08/02/2010,19.20
06/11/2009,27.10
06/08/2009,25.30
06/05/2009,11.30
06/02/2009,9.10
06/11/2008,12.30
06/08/2008,11.50
06/05/2008,16.90
12/02/2008,56.50
