date,close
06/05/2021,6.79
08/02/2021,6.10
06/11/2020,5.80
06/08/2020,6.15
06/05/2020,6.47
06/02/2020,6.10
06/11/2019,6.55
06/08/2019,6.80
06/05/2019,7.30
11/02/2019,6.76
06/11/2018,6.09
06/08/2018,6.08
07/05/2018,5.85
06/02/2018,5.50
06/11/2017,6.23
07/08/2017,8.30
08/05/2017,5.35
06/02/2017,5.88
07/11/2016,6.31
08/08/2016,4.30
06/05/2016,5.80
15/02/2016,4.80
06/11/2015,6.80
06/08/2015,7.50
06/05/2015,7.20
06/02/2015,9.80
06/11/2014,12.50
06/08/2014,12.70
06/05/2014,12.60
06/02/2014,14.30
06/11/2013,8.10
06/08/2013,10.90
15/05/2013,19.20
