date,close
06/05/2021,26.30
08/02/2021,25.00
06/11/2020,24.40
06/08/2020,24.10
06/05/2020,22.80
06/02/2020,24.90
06/11/2019,24.50
06/08/2019,25.00
06/05/2019,24.70
11/02/2019,25.85
06/11/2018,24.60
06/08/2018,24.20
07/05/2018,24.40
06/02/2018,24.00
06/11/2017,24.95
07/08/2017,25.00
08/05/2017,23.00
06/02/2017,24.00
07/11/2016,23.95
08/08/2016,23.80
06/05/2016,23.30
15/02/2016,23.00
06/11/2015,25.00
06/08/2015,26.00
06/05/2015,27.00
06/02/2015,26.00
06/11/2014,26.00
06/08/2014,22.00
06/05/2014,19.90
06/02/2014,17.80
06/11/2013,17.60
06/08/2013,15.50
06/05/2013,14.50
06/02/2013,13.90
06/11/2012,11.60
06/08/2012,11.40
07/05/2012,13.70
06/02/2012,10.40
07/11/2011,11.90
08/08/2011,10.80
06/05/2011,12.00
08/02/2011,12.80
08/11/2010,12.50
06/08/2010,15.00
06/05/2010,17.80
08/02/2010,18.90
06/11/2009,24.50
06/08/2009,27.70
06/05/2009,21.70
06/02/2009,13.50
06/11/2008,14.10
06/08/2008,12.20
06/05/2008,16.70
12/02/2008,24.10
