date,close
06/05/2021,82.70
08/02/2021,71.30
06/11/2020,52.40
06/08/2020,46.80
06/05/2020,52.90
06/02/2020,53.60
06/11/2019,59.50
06/08/2019,48.95
06/05/2019,48.75
11/02/2019,44.15
06/11/2018,42.15
06/08/2018,42.25
07/05/2018,59.60
06/02/2018,54.20
06/11/2017,51.40
07/08/2017,49.85
08/05/2017,47.00
06/02/2017,44.30
07/11/2016,42.80
08/08/2016,40.60
06/05/2016,47.50
15/02/2016,46.70
06/11/2015,52.50
06/08/2015,46.80
06/05/2015,49.60
06/02/2015,47.30
06/11/2014,50.00
06/08/2014,51.00
06/05/2014,65.00
06/02/2014,54.50
06/11/2013,46.10
06/08/2013,45.20
06/05/2013,38.30
06/02/2013,39.40
06/11/2012,33.50
06/08/2012,47.20
07/05/2012,67.00
06/02/2012,50.50
07/11/2011,49.80
08/08/2011,53.50
06/05/2011,52.00
08/02/2011,63.50
08/11/2010,72.50
06/08/2010,77.00
06/05/2010,87.50
08/02/2010,83.00
06/11/2009,82.00
06/08/2009,78.00
06/05/2009,60.50
06/02/2009,47.50
06/11/2008,89.00
06/08/2008,66.50
06/05/2008,78.00
12/02/2008,193.00
