date,close
06/05/2021,7.08
08/02/2021,4.70
06/11/2020,5.72
06/08/2020,3.22
06/05/2020,2.09
06/02/2020,2.46
06/11/2019,2.79
06/08/2019,2.90
06/05/2019,3.32
11/02/2019,2.84
06/11/2018,3.73
06/08/2018,2.91
07/05/2018,4.91
06/02/2018,7.10
06/11/2017,6.90
07/08/2017,7.50
08/05/2017,8.13
06/02/2017,4.68
07/11/2016,6.18
08/08/2016,15.00
06/05/2016,27.20
15/02/2016,31.50
06/11/2015,21.40
06/08/2015,15.30
06/05/2015,9.00
06/02/2015,11.40
06/11/2014,11.20
06/08/2014,10.70
06/05/2014,9.60
06/02/2014,8.40
06/11/2013,5.50
06/08/2013,5.30
06/05/2013,5.30
06/02/2013,5.20
06/11/2012,3.90
06/08/2012,7.00
07/05/2012,11.70
06/02/2012,6.10
07/11/2011,5.90
08/08/2011,7.80
06/05/2011,11.00
08/02/2011,15.10
08/11/2010,16.80
06/08/2010,22.60
06/05/2010,39.00
08/02/2010,27.30
06/11/2009,31.60
06/08/2009,21.30
06/05/2009,13.10
06/02/2009,9.60
06/11/2008,18.30
06/08/2008,20.00
06/05/2008,43.30
