Volume,Time
,2021/3/0/0
609946910000.0,2021/2/0/0
609946910000.0,2021/1/0/0
609946910000.0,2020/4/0/0
609946910000.0,2020/3/0/0
609946910000.0,2020/2/0/0
609946910000.0,2020/1/0/0
610420410000.0,2019/4/0/0
610227910000.0,2019/3/0/0
549983600000.0,2019/2/0/0
549983600000.0,2019/1/0/0
549983600000.0,2018/4/0/0
549983600000.0,2018/3/0/0
420059610000.0,2018/2/0/0
420059610000.0,2018/1/0/0
420059610000.0,2017/4/0/0
420059610000.0,2017/3/0/0
420059610000.0,2017/2/0/0
295183610000.0,2017/1/0/0
295183610000.0,2016/4/0/0
295183610000.0,2016/3/0/0
295183610000.0,2016/2/0/0
295183610000.0,2016/1/0/0
295183610000.0,2015/4/0/0
,2015/3/0/0
,2015/2/0/0
,2015/1/0/0
295183610000.0,2014/4/0/0
295183610000.0,2014/3/0/0
295183610000.0,2014/2/0/0
295183610000.0,2014/1/0/0
295183610000.0,2013/4/0/0
295183610000.0,2013/3/0/0
295183610000.0,2013/2/0/0
295183610000.0,2013/1/0/0
295183610000.0,2012/4/0/0
295183610000.0,2012/3/0/0
295183610000.0,2012/2/0/0
295183610000.0,2012/1/0/0
295183610000.0,2011/4/0/0
246001050000.0,2011/3/0/0
246001050000.0,2011/2/0/0
246001050000.0,2011/1/0/0
246001050000.0,2010/4/0/0
146594630000.0,2010/3/0/0
146594630000.0,2010/2/0/0
146594630000.0,2010/1/0/0
146594630000.0,2009/4/0/0
146594630000.0,2009/3/0/0
109967770000.0,2009/2/0/0
109967770000.0,2009/1/0/0
109967770000.0,2008/4/0/0
109967770000.0,2008/3/0/0
109967770000.0,2008/2/0/0
109967770000.0,2008/1/0/0
